activity_id,name_ru,description_ru,profession_ids,role_ids,location_ids,held_item_ids,used_item_ids,environment_item_ids,consumed_item_ids,produced_item_ids,animal_ids,transport_ids,season_scope,weather_scope,time_of_day,duration_estimate,physical_intensity,pose_hint,previous_activity_ids,next_activity_ids,historical_confidence,source_ids,state_modifiers,prompt_hint
ACT00001,Кузнец общего профиля: подготовить горн и топливо,"Кузнец общего профиля подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0001""]",[],"[""ARC0031"",""INT0044""]","[""CRF0121"",""CRF0117""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""dawn"",""morning""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,tending_fire,[],"[""ACT00002""]",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец общего профиля; подготовить горн и топливо; pose tending_fire; held items CRF0121, CRF0117; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00002,Кузнец общего профиля: нагреть заготовку,"Кузнец общего профиля кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0001""]",[],"[""ARC0031"",""INT0044""]","[""CRF0117"",""CRF0118""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,tending_fire,"[""ACT00001""]","[""ACT00003""]",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец общего профиля; нагреть заготовку; pose tending_fire; held items CRF0117, CRF0118; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00003,Кузнец общего профиля: ковать изделие,"Кузнец общего профиля переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0001""]",[],"[""ARC0031"",""INT0044""]","[""CRF0118"",""CRF0119""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0118""]",[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00002""]","[""ACT00004""]",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец общего профиля; ковать изделие; pose hammering; held items CRF0118, CRF0119; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00004,"Кузнец общего профиля: пробить, обрезать и довести","Кузнец общего профиля пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0001""]",[],"[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0120""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]",[],"[""CON0010"",""HOU0032"",""WPN0014""]",[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00003""]","[""ACT00005""]",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец общего профиля; пробить, обрезать и довести; pose hammering; held items CRF0119, CRF0120; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00005,Кузнец общего профиля: убрать изделие и обслужить инструмент,"Кузнец общего профиля охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0001""]",[],"[""ARC0031"",""INT0044""]","[""CRF0120"",""CRF0079""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day"",""evening""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,carrying,"[""ACT00004""]",[],A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец общего профиля; убрать изделие и обслужить инструмент; pose carrying; held items CRF0120, CRF0079; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00006,Кузнец — изготовитель и ремонтник инструментов: подготовить горн и топливо,"Кузнец — изготовитель и ремонтник инструментов подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0002""]",[],"[""ARC0031"",""INT0044""]","[""CRF0121"",""CRF0117""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""dawn"",""morning""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,tending_fire,[],"[""ACT00007""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец — изготовитель и ремонтник инструментов; подготовить горн и топливо; pose tending_fire; held items CRF0121, CRF0117; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00007,Кузнец — изготовитель и ремонтник инструментов: нагреть заготовку,"Кузнец — изготовитель и ремонтник инструментов кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0002""]",[],"[""ARC0031"",""INT0044""]","[""CRF0117"",""CRF0118""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,tending_fire,"[""ACT00006""]","[""ACT00008""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец — изготовитель и ремонтник инструментов; нагреть заготовку; pose tending_fire; held items CRF0117, CRF0118; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00008,Кузнец — изготовитель и ремонтник инструментов: ковать изделие,"Кузнец — изготовитель и ремонтник инструментов переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0002""]",[],"[""ARC0031"",""INT0044""]","[""CRF0118"",""CRF0119""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0118""]",[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00007""]","[""ACT00009""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец — изготовитель и ремонтник инструментов; ковать изделие; pose hammering; held items CRF0118, CRF0119; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00009,"Кузнец — изготовитель и ремонтник инструментов: пробить, обрезать и довести","Кузнец — изготовитель и ремонтник инструментов пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0002""]",[],"[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0120""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]",[],"[""CRF0020"",""CRF0021"",""CRF0012"",""CON0040""]",[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00008""]","[""ACT00010""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец — изготовитель и ремонтник инструментов; пробить, обрезать и довести; pose hammering; held items CRF0119, CRF0120; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00010,Кузнец — изготовитель и ремонтник инструментов: убрать изделие и обслужить инструмент,"Кузнец — изготовитель и ремонтник инструментов охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0002""]",[],"[""ARC0031"",""INT0044""]","[""CRF0120"",""CRF0079""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day"",""evening""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,carrying,"[""ACT00009""]",[],B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец — изготовитель и ремонтник инструментов; убрать изделие и обслужить инструмент; pose carrying; held items CRF0120, CRF0079; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
