economic_link_id,source_profession,relation,target_profession,item_ids,description,historical_confidence,source_ids
ECO00001,PRO0069,supplies,PRO0001,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец общего профиля».,A,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00002,PRO0265,supplies,PRO0001,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец общего профиля».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00003,PRO0001,sells_to,PRO0147,"[""CON0010"",""HOU0032"",""WPN0014""]",Кузнец общего профиля передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00004,PRO0001,sells_to,PRO0306,"[""CON0010"",""HOU0032"",""WPN0014""]",Кузнец общего профиля передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00005,PRO0069,supplies,PRO0002,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец — изготовитель и ремонтник инструментов».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00006,PRO0265,supplies,PRO0002,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец — изготовитель и ремонтник инструментов».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00007,PRO0002,sells_to,PRO0147,"[""CRF0020"",""CRF0021"",""CRF0012"",""CON0040""]",Кузнец — изготовитель и ремонтник инструментов передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00008,PRO0002,sells_to,PRO0306,"[""CRF0020"",""CRF0021"",""CRF0012"",""CON0040""]",Кузнец — изготовитель и ремонтник инструментов передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00009,PRO0069,supplies,PRO0003,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец ножей и мелких лезвий».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00010,PRO0265,supplies,PRO0003,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец ножей и мелких лезвий».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00011,PRO0003,sells_to,PRO0147,"[""HOU0013"",""WPN0042"",""WPN0069""]",Кузнец ножей и мелких лезвий передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00012,PRO0003,sells_to,PRO0306,"[""HOU0013"",""WPN0042"",""WPN0069""]",Кузнец ножей и мелких лезвий передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
