link_id,profession_id,location_id,relation,confidence,source_ids
PLL000001,PRO0001,ARC0031,main,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000002,PRO0001,INT0044,main,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000003,PRO0001,ARC0031,required_building,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000004,PRO0002,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000005,PRO0002,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000006,PRO0002,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000007,PRO0003,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000008,PRO0003,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000009,PRO0003,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000010,PRO0004,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000011,PRO0004,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000012,PRO0004,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000013,PRO0005,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000014,PRO0005,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000015,PRO0005,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000016,PRO0006,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000017,PRO0006,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000018,PRO0006,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000019,PRO0007,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000020,PRO0007,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000021,PRO0007,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000022,PRO0008,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000023,PRO0008,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000024,PRO0008,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000025,PRO0009,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000026,PRO0009,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000027,PRO0009,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000028,PRO0010,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000029,PRO0010,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000030,PRO0010,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000031,PRO0011,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000032,PRO0011,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000033,PRO0011,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000034,PRO0012,ARC0031,main,C,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000035,PRO0012,INT0044,main,C,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000036,PRO0012,ARC0031,required_building,C,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000037,PRO0013,ARC0031,main,C,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000038,PRO0013,INT0044,main,C,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000039,PRO0013,ARC0031,required_building,C,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000040,PRO0014,ARC0031,main,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000041,PRO0014,INT0019,main,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000042,PRO0014,ARC0031,required_building,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000043,PRO0015,ARC0031,main,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000044,PRO0015,INT0019,main,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000045,PRO0015,ARC0031,required_building,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000046,PRO0016,ARC0031,main,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000047,PRO0016,INT0019,main,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000048,PRO0016,ARC0031,required_building,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000049,PRO0017,ARC0031,main,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000050,PRO0017,INT0019,main,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000051,PRO0017,ARC0031,required_building,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000052,PRO0018,ARC0031,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000053,PRO0018,INT0019,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000054,PRO0018,ARC0031,required_building,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000055,PRO0019,ARC0031,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000056,PRO0019,INT0019,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000057,PRO0019,ARC0031,required_building,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000058,PRO0020,ARC0031,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000059,PRO0020,INT0019,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000060,PRO0020,ARC0031,required_building,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000061,PRO0021,ARC0031,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000062,PRO0021,INT0019,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000063,PRO0021,ARC0031,required_building,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000064,PRO0022,ARC0031,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000065,PRO0022,INT0019,main,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000066,PRO0022,ARC0031,required_building,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
PLL000067,PRO0023,ARC0031,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000068,PRO0023,INT0044,main,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000069,PRO0023,ARC0031,required_building,B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]"
PLL000070,PRO0024,ARC0031,main,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000071,PRO0024,INT0019,main,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000072,PRO0024,STR0006,main,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000073,PRO0024,ARC0031,required_building,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000074,PRO0025,ARC0031,main,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000075,PRO0025,INT0019,main,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000076,PRO0025,STR0006,main,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000077,PRO0025,ARC0031,required_building,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000078,PRO0026,ARC0031,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000079,PRO0026,INT0019,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000080,PRO0026,ARC0031,required_building,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000081,PRO0027,ARC0031,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000082,PRO0027,INT0019,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000083,PRO0027,ARC0031,required_building,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000084,PRO0028,ARC0031,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000085,PRO0028,INT0019,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000086,PRO0028,ARC0031,required_building,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
