source_id,title,authors,year,source_type,url,description,supports,region_scope,period_scope,trust_level,access_note,notes
SRC001,Новгородская археологическая экспедиция МГУ: общий обзор,"МГУ, Новгородская археологическая экспедиция",,официальный академический ресурс / археология,https://archaeology.hist.msu.ru/expeditions/novgorod/,Официальный обзор многолетних раскопок Новгорода и состава находок; ключевой источник для понимания богатства органической археологии.,культурный слой; усадьбы; мостовые; дерево; кожа; береста; ремёсла; быт; оружие; транспорт; игрушки,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC002,Новейшие археологические открытия в Великом Новгороде,Институт археологии РАН,2023,официальное сообщение ИА РАН / археология,https://archaeolog.ru/press/articles/noveyshie-arkheologicheskie-otkrytiya-v-velikom-novgorode,усадьбы; срубы; улицы; мастерские; первая половина XIII в.; монеты и печати,усадьбы; срубы; улицы; мастерские; первая половина XIII в.; монеты и печати,Великий Новгород и Новгородская земля,XII–XIII вв.; отдельные комплексы первой половины XIII в.,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC003,День археолога: исследования Великого Новгорода и Великого моста,Новгородский музей-заповедник,,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/den-arheologa-v-novgorodskom-muzee-zapovednike,деревянные мостовые; усадьбы; мастерские; органика; подводная археология моста,деревянные мостовые; усадьбы; мастерские; органика; подводная археология моста,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC004,Historic Monuments of Novgorod and Surroundings,UNESCO,1992–2026,официальный международный реестр / архитектура и археология,https://whc.unesco.org/en/list/604/,археологический слой; памятники; хронология; поздние перестройки и границы допустимой реконструкции,археологический слой; памятники; хронология; поздние перестройки и границы допустимой реконструкции,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,Полезен для различения домонгольских памятников и поздних кремлёвских стен/башен.
SRC005,Новгородские древности. Деревянные изделия,Б.А. Колчин,1968,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch/sai-e1-55_1968,Фундаментальная публикация уникальной новгородской коллекции деревянных предметов с таблицами.,деревянные сосуды; мебель; транспорт; суда; сани; лыжи; инструменты; детали построек; игрушки,Великий Новгород и Новгородская земля,X–XV вв.; применять только датированные типы,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC006,Новгородские древности. Резное дерево,Б.А. Колчин,1971,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch/sai-e1-55_1971,резная утварь; архитектурные детали; скульптура; игрушки; декоративные деревянные вещи,резная утварь; архитектурные детали; скульптура; игрушки; декоративные деревянные вещи,Великий Новгород и Новгородская земля,X–XV вв.; применять датированные формы,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC007,Труды Новгородской археологической экспедиции. Том II,Новгородская археологическая экспедиция,1959,академический сборник / первичные публикации,https://archaeolog.ru/el-bib/el-cat/el-series/mia/mia-65,стратиграфия; усадьбы; улицы; материальная культура,стратиграфия; усадьбы; улицы; материальная культура,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC008,Древняя Русь. Быт и культура,,,академический синтетический свод,https://archaeolog.ru/el-bib/el-cat/el-series/arch-sssr/archaeologyussr_16,быт; жилище; ремёсла; пища; транспорт; оружие; письменность; игры,быт; жилище; ремёсла; пища; транспорт; оружие; письменность; игры,Великий Новгород и Новгородская земля,IX–XIV вв.; Новгород сопоставляется с другими землями,A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC009,Очерки истории и археологии средневекового Новгорода,В.А. Буров,1994,академическая монография,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1994/ocherki-1994,топография; социальная структура; печати; монеты; берестяные грамоты,топография; социальная структура; печати; монеты; берестяные грамоты,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC010,Культурный слой Новгорода и вещевые хронологии,М.И. Петров,2021,рецензируемая научная статья / методология,https://archaeolog.ru/media/periodicals/archaeology/2021_Petrov.pdf,методика датирования; дендрохронология; осторожность с узкими вещевыми датами,методика датирования; дендрохронология; осторожность с узкими вещевыми датами,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,PDF; карточка/файл ИА РАН,"Используется как методологический ограничитель, а не как источник формы каждого предмета."
SRC011,АГИС-11: 3D-реконструкция новгородской усадьбы,,2026,академическая публикация / научная реконструкция,https://archaeolog.ru/en/press/pubs/agis-11-zatoplennyy-sarkel-i-3d-novgorodskoy-usadby,планировка усадеб; метод реконструкции; пространственные связи,планировка усадеб; метод реконструкции; пространственные связи,Великий Новгород и Новгородская земля,"главным образом XIV в.; только конструктивная аналогия, не прямой образ 1230","B / высокий как метод, позднее целевой даты",Публичная веб-страница/библиографическая карточка,
SRC012,Археологические исследования ранних усадеб Великого Новгорода,,,официальное сообщение ИА РАН / археология,https://archaeolog.ru/press/articles/noveyshie-arkheologicheskie-otkrytiya-v-velikom-novgorode,пalisады; жилые и хозяйственные срубы; деление усадеб; улицы первой половины XIII в.,пalisады; жилые и хозяйственные срубы; деление усадеб; улицы первой половины XIII в.,Великий Новгород и Новгородская земля,XI – первая половина XIII в.,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC013,Подводные исследования древнего моста через Волхов,,,официальное сообщение ИА РАН / подводная археология,https://archaeolog.ru/en/press/articles/arkheologi-vyyasnili-kak-byl-postroen-drevneyshiy-novgorodskiy-most,трасса моста XII–XIII вв.; отдельно — ряжевая опора и пролёты моста X в.; Волхов,трасса моста XII–XIII вв.; отдельно — ряжевая опора и пролёты моста X в.; Волхов,Великий Новгород и Новгородская земля,мост X в. и отдельно зафиксированная трасса XII–XIII вв.; раннюю конструкцию не переносить на 1230,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC014,Очерки по истории русского военного зодчества X–XIII вв.,П.А. Раппопорт,1956,академическая монография,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1956/rappoport-1956,земляные валы; деревянные стены; ворота; башни; рвы; древнерусские укрепления,земляные валы; деревянные стены; ворота; башни; рвы; древнерусские укрепления,Древняя Русь; Новгород требует локальной сверки,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC015,Метательная артиллерия и оборонительные сооружения Древней Руси,А.Н. Кирпичников и др.,1958,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/mia/mia-77,оборонительные конструкции; осадные средства; ворота; стены,оборонительные конструкции; осадные средства; ворота; стены,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC016,Древнерусские городища X–XIII вв.,А.В. Куза,1996,академический свод памятников,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1996/kuza-1996,фортификационный контекст; поселения; планировка укреплений,фортификационный контекст; поселения; планировка укреплений,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC017,Софийский собор,Новгородский музей-заповедник,,официальный музей / сохранившаяся архитектура,https://novgorodmuseum.ru/muzei/sofijskij-sobor,архитектура Софии; дата 1045–1050; материалы; интерьер и главная роль,архитектура Софии; дата 1045–1050; материалы; интерьер и главная роль,Великий Новгород и Новгородская земля,1045–1050 и состояние с последующими перестройками; для 1230 отделять позднее,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC018,Никольский собор на Ярославовом дворище,Новгородский музей-заповедник,1113,официальный музей / сохранившаяся архитектура,https://novgorodmuseum.ru/muzei/nikolskij-sobor,каменный храм 1113; план и архитектура Торговой стороны,каменный храм 1113; план и архитектура Торговой стороны,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC019,Церковь Спаса Преображения на Нередице. К 825-летию,,1198–1199,официальный музей / архитектура и фрески,https://novgorodmuseum.ru/visit/sobytiya/cerkov-spasa-preobrazheniya-na-neredice.-k-825-letiyu-hrama,храм 1198; роспись 1199; домонгольский внешний и внутренний образ,храм 1198; роспись 1199; домонгольский внешний и внутренний образ,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
