source_id	title	type	url	use_in_file	reliability_notes
src_iucn_get	IUCN Global Ecosystem Typology	scientific classification	https://iucn.org/resources/conservation-tool/iucn-global-ecosystem-typology	Экосистемная рамка: леса, болота, поймы, водные типы.	Высокая: международная научная типология.
src_iucn_get_pdf	IUCN Global Ecosystem Typology 2.0 PDF	scientific classification	https://portals.iucn.org/library/sites/library/files/documents/2020-037-En.pdf	Поддержка функциональных групп: boreal forest, wetlands, rivers, lakes.	Высокая: профильный отчёт IUCN.
src_fao_gez	FAO Global Ecological Zones	scientific classification	https://data.apps.fao.org/catalog/dataset/2fb209d0-fd34-4e5e-a3d8-a13c241eb61b	Широкие лесные экологические зоны и лесная рамка.	Высокая: FAO.
src_ramsar_wetlands	Ramsar wetland definition and classification	scientific classification	https://www.ramsar.org/sites/default/files/documents/pdf/lib/hbk4-17.pdf	Болота, торфяники, поймы, реки, озёра, искусственные водные тела.	Высокая: международная водно-болотная классификация.
src_ramsar_type_list	Ramsar wetland type classification	scientific classification	https://www.dcceew.gov.au/water/wetlands/ramsar/wetland-type-classification	Поддержка списка типов водно-болотных угодий.	Высокая: правительственная публикация по Ramsar.
src_novgorod_wider_context	Medieval Novgorod in its wider context	academic archaeology	https://eprints.bournemouth.ac.uk/23438/1/01%20Novgorod%20IV.pdf	Ильмень, Волхов, Пooзерие, сельские поселения, экономика и ресурсы.	Высокая/средняя: академический сборник; использовать как региональный контекст.
src_iskos_poozerie	Historical ties between the population of the Novgorod Land and Finland	academic archaeology	https://journal.fi/iskos/article/view/143136/90577	Пooзерие, верхний Волхов, населённость и сельскохозяйственная освоенность.	Средняя/высокая: регионально релевантная академическая статья.
src_novgorod_promysly	Рыбина Е.А. Промыслы в средневековом Новгороде	academic archaeology	https://cyberleninka.ru/article/n/promysly-v-srednevekovom-novgorode-po-arheologicheskim-materialam	Рыболовство, охота, бортничество, археологические находки и берестяные грамоты.	Высокая/средняя: профильная археологическая статья.
src_novgorod_agriculture	Волгина Н.Д. Сельскохозяйственные орудия средневекового Новгорода	academic archaeology	https://cyberleninka.ru/article/n/selskohozyaystvennye-orudiya-srednevekovogo-novgoroda-sistematizatsiya-hronologiya-volgina-n-d-moskva-rossiya	Земледельческие орудия и реконструкция сельского хозяйства средневекового Новгорода.	Высокая/средняя: профильная археологическая статья.
src_route_he	Historic England: Pre-industrial roads, trackways and canals	heritage classification	https://historicengland.org.uk/images-books/publications/iha-preindustrial-roads-trackways-canals/heag224-pre-industrial-roads-trackways-canals/	Типы доиндустриальных путей, гати, дороги, треки, каналы.	Средняя: не Новгород, но полезная типология инфраструктуры.
src_baltic_route	The Route from the Varangians to the Greeks: truth or fiction	academic historical geography	https://cyberleninka.ru/article/n/the-route-from-the-varangians-to-the-greeks-truth-or-fiction	Водные пути, Ловать, Ильмень, волоки, гидрографическая возможность маршрута.	Средняя/высокая: исследование исторической географии; учитывать дискуссионность.
src_fao_lccs	FAO Land Cover Classification System / land use framing	scientific classification	https://www.fao.org/land-water/land/land-governance/land-resources-planning-toolbox/category/details/en/c/1036361/	Разделение land cover и land use; хозяйство не равно ландшафт.	Высокая: FAO, методологическая рамка.
