id,parent_g4_id,class_id,title,spatial_function_id,evidence_status,external_route_availability,legacy_id
cg5v3__gn_nov_g4_xp017_yp026_r2_central_current_split_fast_branch,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,spatial.g5.parcel,Быстрый рукав,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_current_split_fast_branch
cg5v3__gn_nov_g4_xp017_yp026_r2_central_current_split_islet_margin,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,spatial.g5.parcel,Кромка островка,landing_or_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_current_split_islet_margin
cg5v3__gn_nov_g4_xp017_yp026_r2_central_current_split_rejoin_reach,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,spatial.g5.parcel,Сход рукавов,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_current_split_rejoin_reach
cg5v3__gn_nov_g4_xp017_yp026_r2_central_current_split_slow_branch,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,spatial.g5.parcel,Тихий рукав,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_current_split_slow_branch
cg5v3__gn_nov_g4_xp017_yp026_r2_central_current_split_split_point,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,spatial.g5.parcel,Раздел потока,navigation_decision_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_current_split_split_point
cg5v3__gn_nov_g4_xp017_yp026_r2_central_current_split_upstream_nose,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,spatial.g5.parcel,Подход к разделению,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_current_split_upstream_nose
cg5v3__gn_nov_g4_xp017_yp026_r2_central_navigation_reach_deep_thread,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,spatial.g5.parcel,Глубокий ход — Средний судоходный плёс,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_navigation_reach_deep_thread
cg5v3__gn_nov_g4_xp017_yp026_r2_central_navigation_reach_downstream_approach,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,spatial.g5.parcel,Нижний подход — Средний судоходный плёс,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_navigation_reach_downstream_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_central_navigation_reach_lee_bank,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,spatial.g5.parcel,Подветренный береговой карман — Средний судоходный плёс,shelter_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_navigation_reach_lee_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_central_navigation_reach_observation_bank,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,spatial.g5.parcel,Береговой ориентир — Средний судоходный плёс,observation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_navigation_reach_observation_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_central_navigation_reach_shoal_margin,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,spatial.g5.parcel,Кромка мелей — Средний судоходный плёс,river_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_navigation_reach_shoal_margin
