binding_id,legacy_edge_id,edge_type,physical,bidirectional,legacy_scale_pair,target_mapping_kind
erbv3__contains_gn_nov_g2_xp017_yp026_r2_backwater_wetlands,contains_gn_nov_g2_xp017_yp026_r2_backwater_wetlands,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_central_main_channel,contains_gn_nov_g2_xp017_yp026_r2_central_main_channel,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_dry_ridge_belt,contains_gn_nov_g2_xp017_yp026_r2_dry_ridge_belt,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_east_distributary_belt,contains_gn_nov_g2_xp017_yp026_r2_east_distributary_belt,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_forest_hinterland,contains_gn_nov_g2_xp017_yp026_r2_forest_hinterland,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_inner_floodplain,contains_gn_nov_g2_xp017_yp026_r2_inner_floodplain,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_island_head_mosaic,contains_gn_nov_g2_xp017_yp026_r2_island_head_mosaic,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_north_main_channel,contains_gn_nov_g2_xp017_yp026_r2_north_main_channel,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_river_sea_transition,contains_gn_nov_g2_xp017_yp026_r2_river_sea_transition,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_shoal_bar_field,contains_gn_nov_g2_xp017_yp026_r2_shoal_bar_field,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_small_stream_network,contains_gn_nov_g2_xp017_yp026_r2_small_stream_network,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_south_main_channel,contains_gn_nov_g2_xp017_yp026_r2_south_main_channel,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_vikhtuy_local_area,contains_gn_nov_g2_xp017_yp026_r2_vikhtuy_local_area,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_west_distributary_belt,contains_gn_nov_g2_xp017_yp026_r2_west_distributary_belt,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g2_xp017_yp026_r2_zaostrovye_archaeological_area,contains_gn_nov_g2_xp017_yp026_r2_zaostrovye_archaeological_area,contains,False,False,G1->G2,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_central_current_split,contains_gn_nov_g3_xp017_yp026_r2_central_current_split,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_central_navigation_reach,contains_gn_nov_g3_xp017_yp026_r2_central_navigation_reach,contains,False,False,G2->G3,retained_hierarchy_dependency
