table_name,column_name,data_type,nullable,key,references,check_or_enum,purpose,source_basis
party_state,id,TEXT,no,PK,,,Party identifier.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,save_slot,TEXT,no,UNIQUE,,,Autosave/manual save label.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,status,TEXT,no,,,party_status,Lifecycle of party.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,world_base_version,TEXT,yes,,,,Read-only base/import version used by this party.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,start_year,INTEGER,no,,,CHECK 1230-1250 recommended by project frame,Historical start year.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,current_year,INTEGER,no,,,,Current in-game year.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,current_season,TEXT,yes,,,,Season label from regional seasonal rules.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,current_day_index,INTEGER,no,,,CHECK >= 0,Game day counter.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,current_minute_of_day,INTEGER,no,,,CHECK 0-1439,"Exact time inside day, per project time model.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,current_region_id,TEXT,no,,,logical FK to world_base.regions(id),Current region ID from read-only base.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,player_character_id,TEXT,yes,,,logical FK to party_player_characters(id),Main player character after generation.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,visible_summary,TEXT,yes,,,,Short player-facing party summary.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,memory_summary,TEXT,yes,,,,Compact party memory for LLM context.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,hidden_state,JSONB,no,,,DEFAULT {},Global hidden state; never sent to prose agent directly.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,audit_state,JSONB,no,,,DEFAULT {},Technical audit flags.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),Real timestamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_state,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),Real timestamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_player_characters,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_player_characters,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_player_characters,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_player_characters,display_name,TEXT,yes,,,,Visible or known name.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,social_role_id,TEXT,yes,,,logical FK to world_base.region_social_roles(id),Role/status from region base if known.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,occupation_id,TEXT,yes,,,logical FK to world_base.region_occupations(id),Occupation from region base if known.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,status,TEXT,no,,,party_entity_status,Character lifecycle.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,attributes,JSONB,no,,,DEFAULT {},Six attributes and bonuses.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,skills,JSONB,no,,,DEFAULT {},Skill bonuses and evidence.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,body_state,JSONB,no,,,DEFAULT {},"Health, satiety, vigor, active states.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,inventory_summary,JSONB,no,,,DEFAULT {},Summary of inventory by current carried items.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,knowledge_state,JSONB,no,,,DEFAULT {},"Character knowledge, not objective truth.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
