from_table,from_column,to_table,to_column,relationship_type,notes
party_player_characters,party_id,party_state,id,fk/logical_fk,
party_graph_nodes,party_id,party_state,id,fk/logical_fk,
party_graph_nodes,parent_node_id,party_graph_nodes,id,fk/logical_fk,
party_graph_edges,party_id,party_state,id,fk/logical_fk,
party_graph_edges,from_party_node_id,party_graph_nodes,id,fk/logical_fk,
party_graph_edges,to_party_node_id,party_graph_nodes,id,fk/logical_fk,
party_graph_edges,reverse_party_edge_id,party_graph_edges,id,fk/logical_fk,
party_places,party_id,party_state,id,fk/logical_fk,
party_places,materialized_from_node_id,party_graph_nodes,id,fk/logical_fk,
party_locations,party_id,party_state,id,fk/logical_fk,
party_minilocations,party_id,party_state,id,fk/logical_fk,
party_scene_anchors,party_id,party_state,id,fk/logical_fk,
party_locations,place_id,party_places,id,fk/logical_fk,
party_minilocations,place_id,party_places,id,fk/logical_fk,
party_minilocations,location_id,party_locations,id,fk/logical_fk,
party_scene_anchors,place_id,party_places,id,fk/logical_fk,
party_scene_anchors,location_id,party_locations,id,fk/logical_fk,
party_scene_anchors,minilocation_id,party_minilocations,id,fk/logical_fk,
party_current_position,party_id,party_state,id,fk/logical_fk,
party_current_position,character_id,party_player_characters,id,fk/logical_fk,
party_current_position,place_id,party_places,id,fk/logical_fk,
party_current_position,location_id,party_locations,id,fk/logical_fk,
party_current_position,minilocation_id,party_minilocations,id,fk/logical_fk,
party_current_position,anchor_id,party_scene_anchors,id,fk/logical_fk,
party_current_position,current_node_id,party_graph_nodes,id,fk/logical_fk,
party_current_position,last_route_id,party_graph_edges,id,fk/logical_fk,
party_map_knowledge,party_id,party_state,id,fk/logical_fk,
party_map_knowledge,character_id,party_player_characters,id,fk/logical_fk,
party_map_knowledge,node_id,party_graph_nodes,id,fk/logical_fk,
party_map_knowledge,edge_id,party_graph_edges,id,fk/logical_fk,
party_route_journal,party_id,party_state,id,fk/logical_fk,
party_route_journal,character_id,party_player_characters,id,fk/logical_fk,
party_route_journal,from_node_id,party_graph_nodes,id,fk/logical_fk,
party_route_journal,to_node_id,party_graph_nodes,id,fk/logical_fk,
party_route_journal,edge_id,party_graph_edges,id,fk/logical_fk,
party_npcs,party_id,party_state,id,fk/logical_fk,
party_npcs,current_node_id,party_graph_nodes,id,fk/logical_fk,
party_npcs,current_place_id,party_places,id,fk/logical_fk,
party_npcs,current_location_id,party_locations,id,fk/logical_fk,
party_items,party_id,party_state,id,fk/logical_fk,
party_items,container_item_id,party_items,id,fk/logical_fk,
party_items,place_id,party_places,id,fk/logical_fk,
party_items,location_id,party_locations,id,fk/logical_fk,
party_items,minilocation_id,party_minilocations,id,fk/logical_fk,
party_items,anchor_id,party_scene_anchors,id,fk/logical_fk,
party_inventory_entries,party_id,party_state,id,fk/logical_fk,
party_inventory_entries,item_id,party_items,id,fk/logical_fk,
party_events,party_id,party_state,id,fk/logical_fk,
party_turns,party_id,party_state,id,fk/logical_fk,
party_journal_entries,party_id,party_state,id,fk/logical_fk,
party_journal_entries,turn_id,party_turns,id,fk/logical_fk,
party_journal_entries,character_id,party_player_characters,id,fk/logical_fk,
party_llm_steps,party_id,party_state,id,fk/logical_fk,
party_llm_steps,parent_step_id,party_llm_steps,id,fk/logical_fk,
party_validation_issues,party_id,party_state,id,fk/logical_fk,
party_validation_issues,llm_step_id,party_llm_steps,id,fk/logical_fk,
party_validation_issues,turn_id,party_turns,id,fk/logical_fk,
