id	region_id	place_template_id	max_total	max_per_subregion	min_total_if_region_active	economic_basis_required	route_basis_required	water_basis_required	authority_basis_required	historical_anchor_basis_required	allowed_near_place_types	forbidden_near_place_types	minimum_distance_band	maximum_distance_band	density_logic	naming_policy	duplication_policy	game_use	limits	status	confidence	sources	audit_notes
pgl_nov_isolated_farmstead	region_novgorod_land	rpgr_nov_isolated_farmstead		3	0	true	false	true	false	false	"[""village"", ""hamlet"", ""dispersed_settlement_cluster""]"	"[""city_major_center""]"	not_fixed	local_cluster	Economic limit: generate only in G1 cells with arable/meadow/pasture basis. Use settlement_density as capacity: low=1 rural node, medium_low=2, medium=3, medium_high=4, high=5 across all rural settlement rules combined. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_novgorod_agriculture"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_birchbark_taxes_shm"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=rural; template_type=isolated_farmstead; matched_current_g1_economy=['lu_common_pasture', 'lu_hay_meadow_cutting', 'lu_kitchen_garden', 'lu_rainfed_arable']; missing_required_economy_count=3.
pgl_nov_hamlet	region_novgorod_land	rpgr_nov_hamlet		4	0	true	true	true	false	false	"[""village"", ""isolated_farmstead"", ""dispersed_settlement_cluster""]"	"[""city_major_center""]"	not_fixed	local_cluster	Economic limit: generate only in G1 cells with arable/meadow/pasture basis. Use settlement_density as capacity: low=1 rural node, medium_low=2, medium=3, medium_high=4, high=5 across all rural settlement rules combined. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_novgorod_agriculture"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_birchbark_taxes_shm"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=rural; template_type=hamlet; matched_current_g1_economy=['lu_common_pasture', 'lu_hay_meadow_cutting', 'lu_kitchen_garden', 'lu_rainfed_arable']; missing_required_economy_count=3.
pgl_nov_village_arable_meadow	region_novgorod_land	rpgr_nov_village_arable_meadow		3	0	true	true	true	false	false	"[""hamlet"", ""isolated_farmstead"", ""rural_church_center"", ""pogost""]"	"[""city_major_center""]"	not_fixed	local_cluster	Economic limit: generate only in G1 cells with arable/meadow/pasture basis. Use settlement_density as capacity: low=1 rural node, medium_low=2, medium=3, medium_high=4, high=5 across all rural settlement rules combined. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_novgorod_agriculture"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_birchbark_taxes_shm"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=rural; template_type=village; matched_current_g1_economy=['lu_common_pasture', 'lu_hay_meadow_cutting', 'lu_kitchen_garden', 'lu_rainfed_arable']; missing_required_economy_count=3.
pgl_nov_dispersed_settlement_cluster	region_novgorod_land	rpgr_nov_dispersed_settlement_cluster		2	0	true	true	true	false	false	"[""hamlet"", ""isolated_farmstead"", ""village""]"	"[""city_major_center""]"	not_fixed	local_cluster	Economic limit: generate only in G1 cells with arable/meadow/pasture basis. Use settlement_density as capacity: low=1 rural node, medium_low=2, medium=3, medium_high=4, high=5 across all rural settlement rules combined. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_birchbark_taxes_shm"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=rural; template_type=dispersed_settlement_cluster; matched_current_g1_economy=['lu_common_pasture', 'lu_hay_meadow_cutting', 'lu_kitchen_garden', 'lu_rainfed_arable']; missing_required_economy_count=5.
pgl_nov_rural_church_center	region_novgorod_land	rpgr_nov_rural_church_center		1	0	true	true	true	true	false	"[""village"", ""hamlet"", ""pogost""]"	"[""hermitage_skete""]"	within_settled_area	local_service_area	Economic limit: generate only where rural settlement, tax/church/estate context, or named anchor justifies authority. Do not create more than one authority/church/estate node of the same functional layer in one G1 cell. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_pogost_genesis"", ""src_novgorod_wider_context"", ""src_project_schema"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=authority; template_type=rural_church_center; matched_current_g1_economy=['lu_common_pasture', 'lu_hay_meadow_cutting', 'lu_kitchen_garden', 'lu_rainfed_arable']; missing_required_economy_count=3.
pgl_nov_pogost_center	region_novgorod_land	rpgr_nov_pogost_center		1	0	true	true	true	true	false	"[""village"", ""rural_church_center"", ""market_site"", ""ferry"", ""ford""]"	"[""pogost""]"	service_area_separation	local_to_subregional_service_area	Economic limit: generate only where rural settlement, tax/church/estate context, or named anchor justifies authority. Do not create more than one authority/church/estate node of the same functional layer in one G1 cell. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_pogost_genesis"", ""src_novgorod_wider_context"", ""src_project_schema"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=authority; template_type=pogost; matched_current_g1_economy=['lu_common_pasture', 'lu_hay_meadow_cutting', 'lu_kitchen_garden', 'lu_rainfed_arable']; missing_required_economy_count=3.
pgl_nov_estate_center	region_novgorod_land	rpgr_nov_estate_center		1	0	true	true	true	true	false	"[""village"", ""hamlet"", ""monastic_grange""]"	"[""city_major_center""]"	not_fixed	estate_hinterland	Economic limit: generate only where rural settlement, tax/church/estate context, or named anchor justifies authority. Do not create more than one authority/church/estate node of the same functional layer in one G1 cell. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=authority; template_type=estate_center; matched_current_g1_economy=['lu_common_pasture', 'lu_fuelwood_gathering', 'lu_fur_trapping_ground', 'lu_hay_meadow_cutting', 'lu_hunting_ground', 'lu_kitchen_garden', 'lu_rainfed_arable', 'lu_timber_felling', 'lu_tree_beekeeping_bortnichestvo']; missing_required_economy_count=9.
pgl_nov_monastic_grange	region_novgorod_land	rpgr_nov_monastic_grange		1	0	true	true	true	true	false	"[""monastery"", ""village"", ""estate_center""]"	[]	near_parent_or_estate_area	monastic_hinterland	Economic limit: generate only where rural settlement, tax/church/estate context, or named anchor justifies authority. Do not create more than one authority/church/estate node of the same functional layer in one G1 cell. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=authority; template_type=monastic_grange; matched_current_g1_economy=['lu_common_pasture', 'lu_fish_weir_trap_operation', 'lu_fuelwood_gathering', 'lu_fur_trapping_ground', 'lu_hay_meadow_cutting', 'lu_hunting_ground', 'lu_inland_capture_fishing', 'lu_kitchen_garden', 'lu_rainfed_arable', 'lu_reed_sedge_harvest', 'lu_timber_felling', 'lu_tree_beekeeping_bortnichestvo']; missing_required_economy_count=10.
pgl_nov_monastery	region_novgorod_land	rpgr_nov_monastery		1	0	true	true	true	true	true	"[""village"", ""river_landing"", ""roadside_inn"", ""pogost""]"	"[""monastery""]"	manual_density_control	subregional	Economic limit: generate only where rural settlement, tax/church/estate context, or named anchor justifies authority. Do not create more than one authority/church/estate node of the same functional layer in one G1 cell. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=authority; template_type=monastery; matched_current_g1_economy=['lu_common_pasture', 'lu_fish_weir_trap_operation', 'lu_fuelwood_gathering', 'lu_fur_trapping_ground', 'lu_hay_meadow_cutting', 'lu_hunting_ground', 'lu_inland_capture_fishing', 'lu_kitchen_garden', 'lu_rainfed_arable', 'lu_reed_sedge_harvest', 'lu_timber_felling', 'lu_tree_beekeeping_bortnichestvo']; missing_required_economy_count=10.
pgl_nov_hermitage_skete	region_novgorod_land	rpgr_nov_hermitage_skete	1	1	0	true	false	true	true	true	"[""monastery"", ""pilgrimage_shrine""]"	"[""market_site"", ""posad_suburb""]"	secluded_from_dense_settlement	near_water_or_forest_route	Economic limit: generate only where rural settlement, tax/church/estate context, or named anchor justifies authority. Do not create more than one authority/church/estate node of the same functional layer in one G1 cell. The numeric cap is defensive and per G1 subregion, not a census or archaeological count.	Use the naming rules from the referenced region_place_generation_rules row; do not create duplicate names for the same functional cluster or water/route node.	One generated place must represent one functional node. If a later rule finds the same water crossing, resource patch, settlement cluster or authority center, merge or link instead of duplicating.	Use this row as an economic guard before materializing a place. Check the referenced region_place_generation_rules row, then the G1 cell economy, then existing places/anchors to avoid duplication.	No exact total is inferred unless max_total is explicitly filled from a named 1230-era anchor or a unique economic centre. If max_total is blank, the row is constrained by G1 cell economy, max_per_subregion, duplication_policy and graph_edges/places. Required_economy is absent from current G1 mask, but generation is allowed only for the named historical anchor captured by max_total; do not use generically. 	usable_with_caution	medium	"[""src_novgorod_wider_context"", ""src_he_medieval_settlements"", ""src_project_schema"", ""src_project_g1_historical_mask""]"	Built from Novgorod generation rules and scientific/archaeological source classes; needs manual adjustment after G1/G2 subregion grid and historical anchors are fixed. Updated economic-limit policy 2026-07-01T20:44:11.567888+00:00; group=authority; template_type=hermitage_skete; matched_current_g1_economy=[]; missing_required_economy_count=1.
