place_generation_limit_id	rpgr_id	template_type	economic_group	required_economy_from_rule	matched_in_current_G1_mask	missing_in_current_G1_mask	critical_missing_in_current_G1_mask	max_total_after_update	max_per_subregion_after_update	status_after_update	basis_note
pgl_nov_isolated_farmstead	rpgr_nov_isolated_farmstead	isolated_farmstead	rural	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable""]"	"[""lu_common_pasture"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_rainfed_arable""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation""]"	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_hamlet	rpgr_nov_hamlet	hamlet	rural	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable""]"	"[""lu_common_pasture"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_rainfed_arable""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation""]"	[]		4	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_village_arable_meadow	rpgr_nov_village_arable_meadow	village	rural	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable""]"	"[""lu_common_pasture"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_rainfed_arable""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation""]"	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_dispersed_settlement_cluster	rpgr_nov_dispersed_settlement_cluster	dispersed_settlement_cluster	rural	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_slash_burn_cultivation"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_rainfed_arable""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation"", ""lu_slash_burn_cultivation"", ""lu_wood_pasture_silvopasture""]"	[]		2	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_rural_church_center	rpgr_nov_rural_church_center	rural_church_center	authority	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable""]"	"[""lu_common_pasture"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_rainfed_arable""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_pogost_center	rpgr_nov_pogost_center	pogost	authority	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable""]"	"[""lu_common_pasture"", ""lu_hay_meadow_cutting"", ""lu_kitchen_garden"", ""lu_rainfed_arable""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_estate_center	rpgr_nov_estate_center	estate_center	authority	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_monastic_grange	rpgr_nov_monastic_grange	monastic_grange	authority	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_monastery	rpgr_nov_monastery	monastery	authority	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_hermitage_skete	rpgr_nov_hermitage_skete	hermitage_skete	authority	"[""lu_wild_food_gathering""]"	[]	"[""lu_wild_food_gathering""]"	[]	1	1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
