cell_id	cell_code	status	settlement_density	primary_landscape_template_id	primary_water_body_template_id	agriculture_basis	water_fishing_basis	forest_promysel_basis	salt_basis	explicit_industry_basis	rural_settlement_cap_per_cell	fishing_place_cap_per_cell	forest_camp_cap_per_cell	authority_or_market_cap_per_cell	craft_industry_cap_per_cell	land_use_template_ids	place_template_ids_allowed	known_landmarks	economic_notes
gn_nov_g1_00_03	nov_g1_00_03	border	low	lt_boreal_mixed_forest	wb_medium_river	true	true	true	false	false	1	2	2	0	0	"[""lu_hunting_ground"", ""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing""]"	"[""pt_hamlet"", ""pt_fishing_station"", ""pt_ford_place""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_00_04	nov_g1_00_04	border	medium_low	lt_marsh_lake_margin	wb_medium_river	true	true	false	false	false	2	3	0	0	0	"[""lu_inland_capture_fishing"", ""lu_fish_weir_trap_operation"", ""lu_hay_meadow_cutting""]"	"[""pt_river_landing"", ""pt_boat_landing"", ""pt_fishing_station"", ""pt_fish_weir_site""]"	"[""Шелонь"", ""Ильмень""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_00_05	nov_g1_00_05	partial	medium_low	lt_boreal_mixed_forest	wb_brook	true	false	true	false	false	2	0	3	1	0	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_common_pasture"", ""lu_hunting_ground""]"	"[""pt_hamlet"", ""pt_village"", ""pt_pogost_center""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_01_02	nov_g1_01_02	partial	low	lt_wet_lowland_forest	wb_small_river	true	false	true	false	false	1	0	2	0	0	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""pt_hamlet"", ""pt_wintering_hut"", ""pt_hunting_camp""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_01_03	nov_g1_01_03	partial	medium_low	lt_marsh_lake_margin	wb_large_fresh_lake	true	true	false	false	false	2	3	0	0	0	"[""lu_inland_capture_fishing"", ""lu_fish_weir_trap_operation"", ""lu_reed_sedge_harvest"", ""lu_hay_meadow_cutting""]"	"[""pt_fishing_station"", ""pt_fish_weir_site"", ""pt_boat_landing""]"	"[""Ильмень""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_01_04	nov_g1_01_04	active	medium_high	lt_mesic_meadow	wb_brook	true	true	false	false	false	4	3	0	1	1	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_common_pasture"", ""lu_inland_capture_fishing""]"	"[""pt_hamlet"", ""pt_village"", ""pt_pogost_center"", ""pt_rural_church_center""]"	"[""Северо-западное Приильменье / Пooзерие""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_01_05	nov_g1_01_05	active	medium_high	lt_mesic_meadow	wb_small_river	true	false	false	false	false	4	0	0	1	1	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_common_pasture"", ""lu_kitchen_garden""]"	"[""pt_hamlet"", ""pt_village"", ""pt_pogost_center""]"	"[""Веряжа"", ""Прость""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_02_02	nov_g1_02_02	partial	low	lt_boreal_mixed_forest	wb_small_river	false	false	true	false	false	0	0	2	0	0	"[""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_timber_felling""]"	"[""pt_hunting_camp"", ""pt_wintering_hut"", ""pt_forest_work_camp""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_02_03	nov_g1_02_03	active	medium_high	lt_alluvial_floodplain	wb_medium_river	true	true	false	true	false	4	3	0	1	1	"[""lu_saltmaking_saltern"", ""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing""]"	"[""pt_town"", ""pt_saltworks"", ""pt_market_place"", ""pt_river_landing"", ""pt_village""]"	"[""Руса / Старая Русса"", ""Полисть""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_02_04	nov_g1_02_04	water_only	none	lt_marsh_lake_margin	wb_large_fresh_lake	false	true	false	false	false	0	0	0	0	0	"[""lu_inland_capture_fishing"", ""lu_fish_weir_trap_operation""]"	"[""pt_fishing_station"", ""pt_boat_landing""]"	"[""Ильмень""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_02_05	nov_g1_02_05	active	high	lt_alluvial_floodplain	wb_large_river	true	true	false	false	false	5	3	0	1	1	"[""lu_kitchen_garden"", ""lu_inland_capture_fishing"", ""lu_rainfed_arable"", ""lu_hay_meadow_cutting""]"	"[""pt_city_major_center"", ""pt_posad_suburb"", ""pt_market_place"", ""pt_hillfort_gorodishche"", ""pt_monastery"", ""pt_river_landing"", ""pt_administrative_court""]"	"[""Новгород"", ""Рюриково Городище"", ""Юрьев монастырь"", ""исток Волхова""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
