template_type	patch_status	covered_place_template_ids
village	legacy_existing	"[""pt_nucleated_village"",""pt_village""]"
fishing_village	legacy_existing	[]
forest_camp	legacy_existing	[]
charcoal_burner_camp	legacy_existing	[]
logging_camp	legacy_existing	[]
winter_hut	legacy_existing	"[""pt_wintering_hut""]"
pogost	legacy_existing	"[""pt_pogost_center""]"
ferry	legacy_existing	"[""pt_ferry_place""]"
ford	legacy_existing	"[""pt_ford_place""]"
roadside_inn	legacy_existing	[]
market_site	legacy_existing	"[""pt_market_place""]"
monastery_dependency	legacy_existing	[]
watch_post	legacy_existing	"[""pt_watchpost_guard_post""]"
hunting_camp	legacy_existing	"[""pt_hunting_camp""]"
beekeeping_site	legacy_existing	[]
isolated_farmstead	new_required_for_region_place_templates	"[""pt_isolated_farmstead""]"
hamlet	new_required_for_region_place_templates	"[""pt_hamlet""]"
nucleated_village	new_required_for_region_place_templates	[]
dispersed_settlement_cluster	new_required_for_region_place_templates	"[""pt_dispersed_settlement_cluster""]"
rural_church_center	new_required_for_region_place_templates	"[""pt_rural_church_center""]"
estate_center	new_required_for_region_place_templates	"[""pt_administrative_court"",""pt_estate_center""]"
monastic_grange	new_required_for_region_place_templates	"[""pt_monastic_grange""]"
monastery	new_required_for_region_place_templates	"[""pt_monastery""]"
hermitage_skete	new_required_for_region_place_templates	"[""pt_hermitage_skete""]"
pilgrimage_shrine	new_required_for_region_place_templates	"[""pt_pilgrimage_shrine""]"
forest_work_camp	new_required_for_region_place_templates	"[""pt_forest_work_camp""]"
fishing_station	new_required_for_region_place_templates	"[""pt_fishing_station""]"
fish_weir_site	new_required_for_region_place_templates	"[""pt_fish_weir_site""]"
river_landing	new_required_for_region_place_templates	"[""pt_river_landing""]"
boat_landing	new_required_for_region_place_templates	"[""pt_boat_landing""]"
periodic_fairground	new_required_for_region_place_templates	"[""pt_periodic_fairground""]"
town	new_required_for_region_place_templates	"[""pt_town""]"
city_major_center	new_required_for_region_place_templates	"[""pt_city_major_center""]"
fortified_town	new_required_for_region_place_templates	"[""pt_fortified_town""]"
posad_suburb	new_required_for_region_place_templates	"[""pt_posad_suburb""]"
crossroads	new_required_for_region_place_templates	"[""pt_crossroads""]"
bridge_site	new_required_for_region_place_templates	"[""pt_bridge_place""]"
portage	new_required_for_region_place_templates	"[""pt_portage_place""]"
hillfort_gorodishche	new_required_for_region_place_templates	"[""pt_hillfort_gorodishche""]"
administrative_court	new_required_for_region_place_templates	"[""pt_administrative_court""]"
toll_customs_post	new_required_for_region_place_templates	"[""pt_toll_customs_post""]"
watermill_site	new_required_for_region_place_templates	"[""pt_watermill_site""]"
saltworks	new_required_for_region_place_templates	"[""pt_saltworks""]"
clay_pit_pottery_site	new_required_for_region_place_templates	"[""pt_clay_pit_pottery_site""]"
iron_smelting_site	new_required_for_region_place_templates	"[""pt_iron_smelting_site""]"
shipyard_boatyard	new_required_for_region_place_templates	"[""pt_shipyard_boatyard""]"
